product_name countries fat_100g proteins_100g carbohydrates_100g nutrition-score-fr_100g salt_100g fiber_100g
All-Bran-Fruits'n-Fibre France 6 8 69 11 1 9
Aceite-de-oliva-virgen-extra-&quot;Carbonell&quot;-Gran-Selección España,Europe 100 0 0 11 0 0
Aceite-de-oliva-virgen-&quot;Carbonell&quot;-Selección-almazara España,Europe 100 0 0 11 0 0
Frisk-Menthe-forte France 0 0 94 2 0 0
Huile-de-Tournesol-NaturSol France 100 0 0 11 0 0
Turrón-duro España 36 13 40 10 0 7
Aceite-de-oliva-virgen-extra-&quot;Koipe&quot; España 100 0 0 11 0 0
Gaseosa España 0 0 0 1 0 0
Leinsamen España 3 5 33 -2 1 10
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 20 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 20 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 11 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 20 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 20 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 11 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 11 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 11 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 12 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 20 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; en:spain 100 0 0 12 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; en:spain 100 0 0 3 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; en:spain 100 0 0 3 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; en:spain 100 0 0 12 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 11 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; en:spain 100 0 0 3 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; en:spain 100 0 0 11 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 11 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; en:spain 100 0 0 3 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 20 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 11 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; Spain 100 0 0 11 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; en:spain 100 0 0 3 0 0
Aceite-de-oliva-virgen-extra-&quot;Esencia-Andalusí&quot; en:spain 100 0 0 3 0 0
Mermelada-de-manzana-y-nueces-&quot;Esencia-Andalusí&quot; Spain 100 0 0 18 0 0
Turrón-de-Jijona-Calidad-suprema Espagne 40 17 29 9 0 4
Huile-d'olive-Vierge-Extra-biologique France 100 0 0 11 0 0
