indice product_name packaging additives_fr nutrition-score-fr_100g
211 Christmas-Pudding plastic,bowl E170-Carbonatedecalcium,E375-Acidenicotinique,E422-Glycérol,E330-Acidecitrique 10
212 Christmas-Pudding plastic,bowl E170-Carbonatedecalcium,E375-Acidenicotinique,E422-Glycérol,E330-Acidecitrique 10
213 Orange-&-Cranberry-Pudding plastic,bowl E330-Acidecitrique,E440-Pectines,E331-Citratesdesodium,E170-Carbonatedecalcium,E375-Acidenicotinique,E471-Mono-etdiglycéridesd'acidesgrasalimentaires,E472e-EsterMonoacéthyltartriquedemono-etdiglycéridesd'acidesgras,E300-Acideascorbique 12
214 Orzo-by-Sainsbury's PlasticBag # -4
215 pipe-rigate plasticbag # -1
216 Semolina bag-plastic # -3
217 Kirsch bottle-glass # #
218 Ketchup-Heinze # # #
219 Organic-certified-Tomato-Ketchup Bottle # #
220 vegetarian-bean # # #
221 Heinz-B.B.Q-Sauce-Smokey plasticbottle # #
222 Mexican-orange-blossom-honey Jar-glass,lid-metal # 14
223 Crispy-Cheese-Crackers # # #
224 Fazer-Xylimax-Trio-Chewing-Gum # # #
225 Scottish-Lochmuir™-oak-smoked-salmon board,paper,film,plastic # 14
226 Grignotines # # #
227 jamon-de-teruel-dop # # #
228 mortadella # # #
229 Barbecue-Sauce plasticbottle E150-Caramel,E211-Benzoatedesodium 19
230 Honey-Barbecue-Sauce plasticbottle E1442-Phosphatedediamidonhydroxypropyle,E150a-CaramelE150a,E211-Benzoatedesodium 22
231 Honey-Terriyaki-Marinade-&-Sauce PlasticBottle # #
232 Sweet-Baby-Rays-Steakhouse-Marinade-&-Sauce PlasticBottle E150a-CaramelE150a 21
233 Honey-Barbecue-Sauce Bottle # #
234 Arthur-Macaroni-&-Cheese Box E339iii-Phosphatedesodiumtribasique #
235 Macaroni-&-Cheese Box # #
236 Organic-Cheddar-Squares # # 12
237 Macaroni-&-Cheese Box E339iii-Phosphatedesodiumtribasique 9
238 Organic-Snack-Mix # # #
239 Sour-cream-&-onion-bunnies # # #
240 Whole-Wheat-Bunnies # # #
241 Organic-snack-mix packaging # #
242 Organic-cheddar-bunnies plasticbag # #
243 Organic-Mac Card # 13
244 Truvia # # #
245 Salt # # #
246 Bell's-Traditional-Stuffing # E375-Acidenicotinique,E101-Riboflavine,E500ii-Hydrogénocarbonatedesodium,E450i-Pyrophosphatedesodiumacide,E341i,E175-Or,E510-Chlorured'ammonium,E920-L-Cystéineetseschlorhydrates,E927-Azoformamide,E631-Inosinatedisodique 10
247 Boisson-au-soja Canette # #
248 Simply-Cinnamon-Cruncy-Apple-Chips bag # 0
249 Great-Granny-Crunchy-Apple-Chips # # 9
250 Bluberry-Protein-Shake plasticbottle E341iii-Phosphatedetricalcium,E407-Carraghénanes,E406-Agar-agar 0
251 mango-protein-flavored-soy-protein-shake plasticbottle E341iii-Phosphatedetricalcium,E330-Acidecitrique,E160a-Bêta-carotène #
252 9-Mini-All-Butter-Mince-Pies paper,carton,plastic,tray E170-Carbonatedecalcium,E375-Acidenicotinique,E330-Acidecitrique,E260-Acideacétique,E300-Acideascorbique,E450-Selsmétalliquesdediphosphates,E500ii-Hydrogénocarbonatedesodium,E440-Pectines 17
253 Milano-Lemon-Flavored-Chocolate Paper # 14
254 Milano-dulce-de-leche Paper E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines,E150a-CaramelE150a 24
255 Chessmen---sweet-&-simple-cookies # # #
256 Farmhouse-Oatmeal Plastic,Bag E375-Acidenicotinique,E101-Riboflavine,E481-Stéaroyl-2-lactylatedesodium,E330-Acidecitrique,E282-Propionatedecalcium,E200-Acidesorbique,E322-Lécithines -2
257 Milano-Distinctive-Cookies Bag E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines 21
258 Milano-Dark-Chocolate Paper E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines 20
259 Milano-Orange-Flavored-Chocolate Paper E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines 20
260 Farmhouse-Sourdough Plastic,Bag E375-Acidenicotinique,E101-Riboflavine,E270-Acidelactique,E481-Stéaroyl-2-lactylatedesodium,E330-Acidecitrique,E282-Propionatedecalcium,E200-Acidesorbique,E322-Lécithines 1
261 Milano-Double-Chocolate Paper E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines,E150a-CaramelE150a 14
262 Milano-Raspberry-Flavored-Chocolate Paper # 19
263 Cinnamon-Raisin-6-Pre-Sliced-Bagels # # #
264 Tahoe-White-Chocolate-Macadamia Paper E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines 26
265 Chesapeake-Dark-Chocolate-Pecan Paper # #
266 Sausalito-Milk-Chocolate-Macadamia Paper E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines 26
267 Double-chocolate-Nantuket-Dark-Chocolate Paper # 26
268 Santa-Cruz-Soft-Baked-Oatmeal-Raisin-Soft-Cookies Bag # 0
269 Milano-Mint-Chocolate Paper E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines 19
270 Chessmen paper E375-Acidenicotinique,E101-Riboflavine,E322-Lécithines 17
271 Goldfish-Colors plastic E375-Acidenicotinique,E101-Riboflavine,E160b-Rocou,E341i,E160c-Extraitdepaprika 12
